shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
M1010316,40.7564512838,-73.9703154617,70003
M1010316,40.756593986,-73.9702215509,70004
M1010316,40.7570742187,-73.9698495541,70005
M1010316,40.7576998993,-73.9693944652,70006
M1010316,40.7583283218,-73.9689357568,70007
M1010316,40.7589485091,-73.9684806534,70008
M1010316,40.7595769289,-73.9680255375,70009
M1010316,40.7602547419,-73.9675342919,70010
M1010316,40.7609270632,-73.967043039,70011
M1010316,40.7615499866,-73.966584289,70012
M1010316,40.7621783975,-73.9661255276,70013
M1010316,40.7625979777,-73.9658202832,70014
M1010316,40.7625979777,-73.9658202832,80001
M1010316,40.7628040629,-73.9656703688,80002
M1010316,40.7634297254,-73.9652115916,80003
M1010316,40.7640553871,-73.9647564157,80004
M1010316,40.7646810458,-73.9642976213,80005
M1010316,40.7653094484,-73.9638424268,80006
M1010316,40.7659323586,-73.9633836167,80007
M1010316,40.7665580129,-73.9629284065,80008
M1010316,40.7671372891,-73.9625035386,80009
M1010316,40.7671372891,-73.9625035386,90001
M1010316,40.7671836641,-73.9624695777,90002
M1010316,40.7678120593,-73.9620143488,90003
M1010316,40.7684377079,-73.9615591129,90004
M1010316,40.7689151683,-73.9611905992,90005
M1010316,40.7690578652,-73.9611038716,90006
M1010316,40.7697493677,-73.9606016469,90007
M1010316,40.770104174,-73.9603454708,90008
M1010316,40.770104174,-73.9603454708,100001
M1010316,40.7704298928,-73.960110249,100002
M1010316,40.771063764,-73.9596441415,100003
M1010316,40.7716948899,-73.9591816371,100004
M1010316,40.772331502,-73.9587155101,100005
M1010316,40.7729653701,-73.9582565968,100006
M1010316,40.773599235,-73.9577940643,100007
M1010316,40.7742824897,-73.9572953866,100008
M1010316,40.7746361898,-73.957037371,100009
M1010316,40.7746361898,-73.957037371,110001
M1010316,40.7749657422,-73.9567966988,110002
M1010316,40.775599601,-73.9563341385,110003
M1010316,40.7762362013,-73.955867957,110004
M1010316,40.7768673115,-73.9554053809,110005
M1010316,40.7775039107,-73.9549464029,110006
M1010316,40.7781377618,-73.9544838074,110007
M1010316,40.7784854187,-73.9542300989,110008
M1010316,40.7784854187,-73.9542300989,120001
M1010316,40.7788210017,-73.9539850618,120002
M1010316,40.7794960082,-73.9534935332,120003
M1010316,40.7801243653,-73.9530345246,120004
M1010316,40.7807527205,-73.9525755074,120005
M1010316,40.7813865663,-73.9521236993,120006
M1010316,40.7820066806,-73.951657449,120007
M1010316,40.7826322854,-73.9511984078,120008
M1010316,40.7832606331,-73.950739356,120009
M1010316,40.7838889804,-73.9502839065,120010
M1010316,40.7845145796,-73.9498248394,120011
M1010316,40.7851923125,-73.9493332245,120012
M1010316,40.7857729086,-73.9489066739,120013
M1010316,40.7857729086,-73.9489066739,130001
M1010316,40.7858810156,-73.9488271468,130002
M1010316,40.7864956347,-73.9483788942,130003
M1010316,40.7871212277,-73.9479234025,130004
M1010316,40.7874941124,-73.9476501052,130005
M1010316,40.7874941124,-73.9476501052,140001
M1010316,40.787752305,-73.9474606754,140002
M1010316,40.7883806373,-73.947001553,140003
M1010316,40.7889952508,-73.946556878,140004
M1010316,40.7890089694,-73.9465460332,140005
M1010316,40.7896372979,-73.9460868935,140006
M1010316,40.7896921721,-73.9460435134,140007
M1010316,40.7902628798,-73.9456277474,140008
M1010316,40.7908939493,-73.9451685881,140009
M1010316,40.7915689168,-73.944676881,140010
M1010316,40.7919170995,-73.9444212639,140011
M1010316,40.7919170995,-73.9444212639,150001
M1010316,40.7922438805,-73.9441815525,150002
M1010316,40.7928721993,-73.9437223681,150003
M1010316,40.7935032609,-73.9432631728,150004
M1010316,40.7941315759,-73.9428039711,150005
